ID,Gender,Date of birth,School type,Occupation,Country,City,Status,Social status,Political views,Languages,Religion,Inspiration,What matters in people,What matters in life,Smoking,Alcohol,Avatar,Additional,Class,School type.1,Occupation.1,Status.1,Relationships,Languages.1,Religion.1,What matters in people.1,What matters in life.1,First post text
24058350.0,muzhskoi,43181.0,!,work,rossija,nikel,vy_budete_vsegda_samymi_teplymi_vospominanijami_moei_zhizni._vsegda.,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c624924/v624924350/44341/5dWuBocJrI0.jpg,"ja_uhozhu,_prostite,_kto_lubil,_mne_tjazhelo_terjat_vas_tak_vnezapno._vragi_moi,_ja_vam_davno_prostil,_hot_vy_menja_rugali_mnogokratno.__mne_put_otkryt,_ishod_opredelen,_ne_izbezhat,_da_net_na_to_zhelanja._vsja_zhizn_moja_–_davno_proshedshii_son,_czto_vperedi?_holodnoe_molczane…__ja_tak_ustal_ot_boli_i_obid,_ot_lzhi_i_zloby,_gluposti_bez_mery!_moe_terpene_besprobudno_spit,_ono_ushlo_vsled_za_ostatkom_very.__prosti,_lubov,_menja_ty_beregla,_no_ja_uzhe_davno_tebe_ne_v_silu…_hot_ty_oporoi_mne_vsegda_byla,_ne_uhodi_za_mnoi_v_mou_mogilu.__uidu_legko,_ne_dumaja_lishka,_vospominanii_silu_otvergaja,_ot_vashei_zloby,_za_spinoi_smeshka,_da_bezrazliczja,_bystro_zabyvaja.__ne_nado_slez._vy_vspomnite,_czto_zhil,_czto_vas_ja_znal,_v_vas_veril,_v_vas_vlubljalsja…_ne_vinovat_nikto,_ja_vseh_prostil…_i…_ogljanites…_rjadom_ja_ostalsja…",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
189403753.0,zhenskii,43160.0,!,!,!,!,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c629425/v629425753/1d7bb/lIRcBRcJ3pw.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
1706011.0,zhenskii,!,!,work,rossija,sankt-peterburg,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c407028/v407028011/fe00/glVGw2mX2KI.jpg,"zavist_ubivaet_czeloveczeskuu_dushu,_poetomu_ja_ee_ispytyvau_tolko_paru_minut,_potom_perekluczau_soznanie_i_deistvuu...zhivu_tolko_svoeu_zhiznu,_ona_u_menja_kak_santa-barbara_i_dom_2_v_sinteze_s_serialom_lubimaja_rabota",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
357118073.0,muzhskoi,35918.0,!,!,!,!,"ja_ne_budu_zhit_proshlym,_lish_tolko_budusczee,_lish_tolko_novoe...",!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c636516/v636516073/224d6/ijV50YkYcFg.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
142139804.0,zhenskii,!,!,!,rossija,roslavl,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c621429/v621429804/18357/-ogX6lMKk_g.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
322960594.0,muzhskoi,37505.0,!,!,rossija,czita,#kartingchita,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c840233/v840233439/4c26c/3oYF0KuF9oo.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
299750101.0,muzhskoi,37535.0,!,!,rossija,orshanka,moi_novyi_nomer_8_902_329_90_32_zvonite_pishite,poisk,!,!,!,!,!,!,!,!,https://pp.userapi.com/c626428/v626428101/30fa1/icT9vBv0-MM.jpg,prsczai_brat✊👊,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
332998391.0,zhenskii,43220.0,gimnazija*,school,rossija,pskov,lublu_kopatycza❤️____(c)kopatycz,poisk,!,!,!,!,!,!,!,!,https://pp.userapi.com/c626228/v626228391/53b53/3oF256iGBbE.jpg,^-*,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
381633264.0,muzhskoi,36579.0,!,!,rossija,ufa,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c631620/v631620264/4c9d8/qPvVEpV973g.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
252262458.0,zhenskii,43144.0,!,work,rossija,voronezh,"polubi_sebja_,prezhde_czem_brat_otvetstvennost_lubit_drugogo",poisk,umerennye,russkii*Español*Dangme*,buddizm,!,!,karera_i_dengi,neitralnoe,neitralnoe,https://pp.userapi.com/c604324/v604324458/14b90/XVPtyhMNnSY.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
13446236.0,muzhskoi,!,!,university,rossija,orenburg,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c633727/v633727236/2e337/kMJfybh34dc.jpg,ty_sho_durak?_ty_kogda_kosar_otdash?,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
278313542.0,zhenskii,35046.0,!,!,rossija,sankt-peterburg,"ja_dumau,_czto_luczshe_odinokim_byt,_czem_zhar_dushi_""komu-nibud""_darit_bescennyi_dar_otdav_komu_popalo_rodnogo_vstretiv,_ne_sumeesh_polubit.",!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c626922/v626922542/1f7ee/NdfLlxK2w7Y.jpg,"i_vot_2oi_raz_prohodit_tvoi_den_rozhdenija_bez_tebja...rodnaja,_nam_oczen_tebja_ne_hvataet...",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
284287172.0,zhenskii,43167.0,!,school,rossija,kazan,!,!,!,russkii*marii iylme*,!,!,!,!,!,!,https://pp.userapi.com/c631428/v631428172/38fd4/v_1bsBABfnM.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
24711934.0,muzhskoi,33091.0,!,work,ukraina,Хarkov,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c627917/v627917934/176f6/E0Bxfg2ORaw.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
36011438.0,muzhskoi,!,!,!,!,!,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c9937/u36011438/a_eeb1626e.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
165496825.0,zhenskii,36260.0,!,school,rossija,balashiha,deshevyi_surrogat_stervoznoi_muzy,!,umerennye,!,!,!,um_i_kreativnost, krasota_i_iskusstvo,kompromissnoe,neitralnoe,https://pp.userapi.com/c636025/v636025825/2de9c/g2B8m7L2Pnc.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
139252047.0,zhenskii,36151.0,!,!,rossija,moskva,"tvoja_ulybka,do_boli_rodnaja",!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c5612/u139252047/a_b950ebcd.jpg,"delat_v_poslednii_den_kanikul_vse_uroki?_da_da,_slyshala",0,,,,,,,,,
49368206.0,muzhskoi,31279.0,!,university,rossija,trehgornyi,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c631620/v631620206/8bfb/-eB-FQXfAeY.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
312352467.0,muzhskoi,43286.0,!,work,japonija,Tokyo,http://vk.com/publicunr,poisk,umerennye,!,pravoslavie,!,dobrota_i_czestnost,samorazvitie,negativnoe,negativnoe,https://pp.userapi.com/c631917/v631917467/496f6/RAFXzq74baE.jpg,dead,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
111711931.0,muzhskoi,29338.0,!,!,rossija,kazan,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c626818/v626818931/faa6/jGKFasxUglY.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
55322366.0,muzhskoi,!,!,!,ukraina,dnepropetrovsk_(dnepr),!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c7005/v7005366/30563/lJn8z81HYeM.jpg,vsem_spasibo_za_prazdnik!!!!!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
67239133.0,zhenskii,!,!,!,!,!,"bez_tebja_net_menja.........._podozhdi_menja_na_nebesah,_ja_skoro_budu_tam...",!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c323327/u67239133/a_e456fd48.jpg,"kotenok_bezdomnyi_v_podezde_sidel,_on_v_sczelku_dveri_czei-to_grustno_smotrel.__nesczastnyi,_zamerzshii,_v_uglu,_v_temnote,__on_slyshal_burczane_v_svoem_zhivote.___smotrel_na_ludei,_prohodjasczih_poroi,__kotorye_shli_vse_v_zabotah,_domoi.__on_vzgljad_svoi_tuskneusczii_k_nim_ustremljal,__ot_nih_on_soczuvstvija,_pomosczi_zhdal.___glazami_prosil_u_ludei:_""pomogite,__vozmite_menja,_u_sebja_priutite.__ne_daite_mne_s_golodu_zdes_umeret,__takie_ne_v_silah_ja_muki_terpet.""___a_ludi,_soczuvstvija_ne_projavljaja,__shli_mimo,_kotenoczka_ne_zameczaja...__uzh_nocz_nastupila,_krugom_tishina,__i_k_nebu_vzletaet_stradalca_dusha.",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
350713493.0,zhenskii,43187.0,!,!,amerikanskoe samoa,!,!,zhenat,!,!,!,!,!,!,!,!,https://pp.userapi.com/c836539/v836539493/1c34a/RcrkgBOEruA.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
muzhskoi,sprygnul,!,!,!,!,!,!,!,!,!,!,!,!,!,!,https://vk.com/images/deactivated_400.png,!,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
239383403.0,muzhskoi,!,!,!,rossija,czeljabinsk,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c620916/v620916403/7850/0-ZiX1-WmLk.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
103471448.0,muzhskoi,34892.0,!,!,rossija,armavir,29,!,kommunisticzeskie,!,pastafarianstvo,!,!,samorazvitie,neitralnoe,neitralnoe,https://pp.userapi.com/c623922/v623922448/30fa0/chpWeHK84_M.jpg,"sasha,_ja,_i_misha_borodacz_popali_na_volnitelnyi_16-i_etazh_studii_[club78410944|radio_energy_krasnodar_90.6_fm]__v_oczerednoi_raz_podtverdil_dlja_sebja,_czto_foto_i_video_eto_moi_smysl._zhelau_kazhdomu_iz_vas_naiti_svoi_smysl,_postavit_cel_i_prosto_dvigatsja!_vse_foto_v_albomczike_http://vk.com/album103471448_214191997_vsem_udaczi)",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Хz,povesilsja,!,!,!,!,!,!,!,!,!,!,!,!,!,!,https://vk.com/images/deactivated_400.png,!,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
zhenskii,samovypil,!,!,!,!,!,!,!,!,!,!,!,!,!,!,https://vk.com/images/deactivated_400.png,!,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
209897156.0,muzhskoi,!,!,!,!,!,!,!,!,!,!,!,!,!,!,!,https://vk.com/images/deactivated_400.png,!,0,,,,,,,,,
8306905.0,muzhskoi,43200.0,!,!,rossija,ekaterinburg,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c631618/v631618905/2111c/nbcrvROA2TQ.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
64790534.0,zhenskii,31935.0,!,university,rossija,krasnojarsk,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c421317/v421317534/90c/gau8l1fTLxo.jpg,!,0,,,,,,,,,
429239165.0,zhenskii,38006.0,!,work,rossija,ussuriisk,💔,slozhno,!,russkii*abaza byzshva*aҧsua byzshәa*अवधी*magӀarul macӀ*agul czIal*Aari*Dangme*adygabze*Azərbaycan dili*Aymar aru*Akkadītum*アイヌ・イタㇰ*Shqip*unaңam tunuu*altai til*American Sign Language*English*العربية*অসমীয়া*አማርኛ*Հայերեն*ܐܪܡܝܐ*Asturianu*Afrikaans*Armãneascã*Bahsa*ܐܬܘܪܝܐ ܣܘܪܝܝܐ*बघेली*Achang*,!,niczego),umor_i_zhiznelubie,razvleczenija_i_otdyh,kompromissnoe,kompromissnoe,https://pp.userapi.com/c830309/v830309504/d4ec4/OaLocvONuSQ.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
403056308.0,muzhskoi,36437.0,tehnikum*,school,rossija,!,lublu_silno_♥,zhenat,!,!,!,lubimyi czelovek,smelost_i_uporstvo,semja_i_deti,neitralnoe,negativnoe,https://pp.userapi.com/c639516/v639516548/33d9f/GJKlssWW0t4.jpg,skuczau_po_tebe_rogataja_moja😒😔😢❤,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
175385200.0,zhenskii,35960.0,kolledzh*,university,rossija,ekaterinburg,"davaite_uzh,ne_budem_tratit_vremja_na_teh,_u_kogo_net_vremeni_na_nas.",vlublen,!,Français*English*russkii zhestovyi*russkii*,pravoslavie,muzyka,umor_i_zhiznelubie, krasota_i_iskusstvo,rezko_negativnoe,rezko_negativnoe,https://pp.userapi.com/c403224/v403224165/9b5c/8sqq4_nV0L4.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
56005837.0,muzhskoi,43416.0,!,university,rossija,ufa,pomnim,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c626419/v626419837/36966/MYsd34fCCpM.jpg,ja_uhozhu...mir_vam_vsem._bolshe_ulybok,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
34034777.0,muzhskoi,43283.0,!,!,!,!,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c625228/v625228777/2aaed/nkq_daN7nco.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
228834651.0,muzhskoi,!,!,!,kitai,!,..,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c628125/v628125651/2698e/dRq6n8q75s4.jpg,"vova,_ja_ne_mogu_poverit_,_czto_tebja_bolshe_net_s_nami.😔_dlja_menja_ty_vsegda_ostaneshsja_samym_umnym_i_zhizneradostnym._ty_vsegda_mog_vyslushat,_podderzhat,_dat_sovet._spasibo_tebe_za_to,_czto_ja_znau_takogo_czeloveka_kak_ty._mne_tebja_budet_ne_hvatat._prosti_esli_czto-to_bylo_ne_tak😔_😭_pust_zemlja_tebe_budet_puhom😔",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
272647789.0,muzhskoi,43383.0,!,!,rossija,novokuzneck,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c636620/v636620789/2b192/CR40CdYfRwA.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
149419697.0,muzhskoi,!,!,work,ukraina,dnepropetrovsk_(dnepr),"pomnim..._lubim..._skorbim..._tvoi_status__-_""vse_menjaetsja...""_zahodil_liczno_2_oktjabrja_v_22:27_2015_g._ushel_iz_zhizni_03.10.2015",!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c621920/v621920697/4ec2a/6HjNnJr-y44.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
63293979.0,muzhskoi,33383.0,!,!,rossija,syzran,"est_osczusczenie,_czto_vse_slishkom_daleko_zashlo,_i_proishodjat_vesczi,_kotoryh_proishodit_ne_dolzhno.",!,umerennye,!,pravoslavie,!,umor_i_zhiznelubie,!,!,!,https://pp.userapi.com/c417329/v417329979/b2d8/nyXUCta6GIc.jpg,mishenka_rodnoi_segodnja_2_goda_kak_tebja_netu_s_nami.pomnim_lubim_i_skorbim..,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
131568955.0,muzhskoi,33951.0,!,!,rossija,nizhnii_novgorod,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c628020/v628020955/33828/M5FsSiXJMbw.jpg,"druzhiscze,_eh_vernut_by_vremja_vspjat_!",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
355595421.0,zhenskii,35540.0,!,work,rossija,toljatti,delau_tatu_:_pisat_v_licznye_soobsczenija_ili_zhe_zvonit_po_nomeru_89608485705,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c824604/v824604687/104985/nnsJUxLlOgk.jpg,🌈,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
49329025.0,muzhskoi,30794.0,!,work,rossija,poljarnye_zori,my_budem_zabyty_epohoi-i_po_hui!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c626127/v626127025/17e4a/gX9RTT7js6Q.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
155358160.0,muzhskoi,!,!,!,!,!,!,!,!,!,!,!,!,!,!,!,https://vk.com/images/deactivated_400.png,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
182352662.0,zhenskii,43435.0,!,!,rossija,astrahan,ja_lublu_vas...poka:(,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c319630/v319630662/4c08/dyCaloqCgL8.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
139295024.0,zhenskii,37017.0,!,!,ukraina,doneck,ne_budi_v_4.20_🐋,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c636518/v636518024/53a3d/yIa-OI3smTM.jpg,!,0,,,,,,,,,
269854468.0,muzhskoi,31523.0,!,!,rossija,znamensk,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c630230/v630230468/441e5/oBz0S-9OZqY.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
136439524.0,muzhskoi,!,!,!,!,!,!,!,!,!,!,!,!,!,!,!,https://vk.com/images/deactivated_400.png,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
345335286.0,muzhskoi,!,!,work,germanija,Berlin,po_voprosam_gruppy-_v_ls.,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c633321/v633321286/16781/qRZeX7ehyK8.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
137933577.0,zhenskii,!,!,university,!,!,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c631426/v631426577/1b1f7/86fxY7ZgLvI.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
153143718.0,muzhskoi,34915.0,!,work,kazahstan,semei,!,!,!,!,!,!,!,!,!,!,https://vk.com/images/a_null.gif,20_janvarja_andrushke_budet_40_dnei😪,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
101955786.0,muzhskoi,35725.0,!,!,rossija,samara,vo_vsem_vinovata_ira,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c834300/v834300982/b1cfb/sQAEPK4B_dc.jpg,ty_na_vsegda_v_nashih_serdcah_...._my_tebja_ne_kogda_ne_zabudem_..._pomnim...lubim....skorbim...,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
55447034.0,zhenskii,34296.0,!,!,rossija,czeboksary,"mama_-_takoi_czelovek,_kotoryi_zamenit_vseh._no_nikto_ne_zamenit_ee...",!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c631226/v631226034/4d48e/GyqMWjFLYM4.jpg,czitaem_skazki_na_nocz✨✨🌙,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
178856905.0,muzhskoi,36327.0,!,work,rossija,toljatti,zhivym_ne_damsi_epty!!1!1!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c631520/v631520905/2b427/xj2dV983Tfo.jpg,"r.i.p._vot_i_reshilsja_solncelikii_na_samovypil!_hyyy!_ot_neczego_delat!_vot_skuczno_zhit!_unylo_i_pogano(osobenno_v_postsovke)!_vse_poklonjautsja_vesczam_somnitelnoi_cennosti,_a.k.a_dengi,_vlast,_mat_ito_cvitnoe_e.t.s._zhelanie_samorealizovyvatsja_v_etom_mire_net!_vse—tlen!_#sun_reckviem_#sun_reckviem_rip_p.s._vy_by_tozhe_vypilivalis._p.p.s._#gurov_dno_p.p.p.s._#sun_reckviem_production",0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
121421815.0,zhenskii,36422.0,!,!,rossija,!,!,!,!,!,!,!,!,!,!,!,https://pp.userapi.com/c836624/v836624815/84e1/aNmbDflD9FI.jpg,!,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
